"visa","titre","realisateur","genre","devis","annee"
"150885","Paternel","TRONCHOT Ronan","fiction","1 054 906","2022"
"146560","Petit Jésus","RIGOULOT Julien","fiction","3 162 318","2022"
"151008","Planètes","SETO Momoko","animation","4 706 747","2022"
"157220","Pollux","DICHTER Michael","fiction","2 452 762","2022"
"156787","Projectionniste (Le)","AGHAZADA Orkhan","documentaire","430 167","2022"
"156631","Quartier libre","DELSAUX Christophe","fiction","315 296","2022"
"152945","Rabia","ENGELHARDT Mareike","fiction","2 920 401","2022"
"154790","Ravissement (Le)","KALTENBACK Iris","fiction","2 011 098","2022"
"150485","Relaxe","GINESTET Audrey","fiction","207 277","2022"
"156717","Roi de la Vendée (Le)","MIGNOT Paul / MOTTEZ Vincent","fiction","3 462 353","2022"
"156541","Rokya","BELKTIBIA Said","fiction","3 428 156","2022"
"152679","Si tu es un homme","PANAY Simon","documentaire","289 402","2022"
"157407","Sous le tapis (ex : Odile)","JAPY Camille","fiction","1 786 029","2022"
"155426","Soyons fous","PEREZ Quentin","documentaire","1 171 587","2022"
"157546","Super bourré","MILHEAU Bastien","fiction","2 428 888","2022"
"152418","Tortue (La)","DOMENACH Lea","fiction","6 171 694","2022"
"156284","Toxic Sicily","DESTORS Francois-Xavier","documentaire","274 104","2022"
"156154","Un jour fille","MONOD Jean-Claude","fiction","834 548","2022"
"154278","Une autre est née","BIDOU Emmanuelle","documentaire","465 023","2022"
"156267","Vie de ma mère (La)","CARPENTIER Julien","fiction","2 101 614","2022"
"152364","Vie sauvage (La)","MUSIEDLAK Victoria","fiction","2 409 088","2022"
"149998","Vincent doit mourir","CASTANG Stephan","fiction","4 859 800","2022"
"155114","Zé","PUREV-OCHIR Lkhagvadulam","fiction","785 000","2022"
"149826","A la belle étoile","TULARD Sébastien","fiction","4 445 984","2021"
"151332","Alam","KHOURY Firas","fiction","594 955","2021"
"150255","Amore Mio","GOUIX Guillaume","fiction","927 427","2021"
"155131","Astrakan","DEPESSEVILLE David","fiction","678 629","2021"
"154686","Avant l'Effondrement","ZENITER Alice / ZENITER Benoît","fiction","2 401 800","2021"
"154862","Barrage (Le)","CHERRI Ali","fiction","464 840","2021"
"146628","Bruxa (ex : Alma viva)","ALVES MEIRA Cristele","fiction","1 778 375","2021"
"154977","Bulle verte (La)","TASSEL Coco","docu","231 010","2021"
"152946","Cabines, la France et moi (Les)","DEVIGNE Floriane","docu","585 286","2021"
"153632","Chevalier noir","ALEEBRAHIM DEHKORDI Emad","fiction","552 877","2021"
"153438","Chien de la casse","DURAND Jean-Baptiste","fiction","1 555 625","2021"
"154385","Chœur de rockeurs","TECHER Ida / BRICAULT Luc","fiction","6 898 076","2021"
"149686","Clés de Jade (Les)","ASLAN Jeanne / SAINTILLAN Paul","fiction","777 048","2021"
"154701","Conte nuptial","BONNEFOY Claire","fiction","270 088","2021"
"150244","Dans un monde idéal","FRECHE Emilie","fiction","2 454 378","2021"
"153895","Déhanché d'Elvis (Le)","ESCAFFRE Lauriane / MULLER Yvonnick","fiction","4 058 150","2021"
"152105","Devant - contrechamp de la rétention","REDOLFI Annick","docu","245 957","2021"
"137694","Disco Boy","ABBRUZZESE Giacomo","fiction","3 557 772","2021"
"154651","En roue libre","BARCELO Didier","fiction","3 101 480","2021"
"149068","Etat sauvage (L')","BAUDUIN Audrey","docu","610 805","2021"
"155694","Faux départ","GUIBERT Gallien","fiction","1 127 516","2021"
"153952","Feathers of a Father","EL ZOHAIRY Omar","fiction","719 485","2021"
"154830","Fils de Caïn (Les)","STAMO Keti","docu","272 406","2021"
"155431","Gagnants (Les)","BENDJILALI Azedine / JUNCA Laurent","fiction","4 616 490","2021"
"154153","Générale (La)","VARELA Valentine","docu","300 745","2021"
"149597","Grand marin (Le)","DRUKAROVA Dinara","fiction","3 206 787","2021"
"152383","I love Greece","GUERRY KARAMAOUNAS Nafsika","fiction","1 090 940","2021"
"155671","Il neige à Sidi Bou Saïd","CHeRIF Fatma","docu","205 267","2021"
"147963","Il n'y aura plus de nuit","WEBER Eleonore","docu","202 111","2021"
"141318","Ils désertent","VIGON Florence","fiction","2 127 733","2021"
"152756","Jacky","DELANGLE Lucas","fiction","1 201 584","2021"
"155867","Jane B","GAINSBOURG Charlotte","docu","441 827","2021"
"155654","Kaleb","TORANIAN Vasken","docu","249 641","2021"
"153631","Last dance","ABERT Coline","docu","597 344","2021"
"142894","Lendarys","CUVELIER Jean-Baptiste / DUCHENE Philippe","animation","10 751 257","2021"
"148830","Mars express","PERIN Jérémie","animation","6 647 600","2021"
"153651","Mastemah","DEROIN Didier","fiction","2 046 039","2021"
"152442","Médium (Le)","LASKAR Emmanuel","fiction","3 754 371","2021"
"152607","Mes vies","TREINER Olivier","fiction","7 243 802","2021"
"152466","Mon héroïne","LEFORT Noemie","fiction","4 163 447","2021"
"152970","Page blanche (La)","MAGELLAN Murielle","fiction","2 731 663","2021"
"154847","Passagère (La)","PELLOQUET Héloïse","fiction","1 218 097","2021"
"147905","Paula","TERRAIL Angela","fiction","1 091 625","2021"
"149620","Petit Nicolas, qu'est-ce qu'on attend pour être heureux ? (Le)","FREDON Amandine / MASSOUBRE Benjamin","animation","8 865 034","2021"
"154834","Pierre et Jeanne","CELARIE Clémentine","fiction","899 209","2021"
"148161","Pires (Les) (ex : Sauvage)","AKOKA Lise / GUERET Romane","fiction","2 636 946","2021"
"152842","Pleurer des rivières ","LEGRAND Léopold","fiction","3 591 000","2021"
"155317","Polaris","VERA Ainara","docu","463 611","2021"
"151666","Rascals","LAPORAL-TReSOR Jimmy","fiction","3 509 403","2021"
"152593","Reines","BENKIRAN Yasmine","fiction","1 812 531","2021"
"149813","Repli (Le)","PARIS Joseph","docu","132 352","2021"
"149285","Rodéo","QUIVORON Lola","fiction","1 218 132","2021"
"148096","Saveurs d'exil","HATTE Anne-Solenne","docu","586 807","2021"
"155016","Segpa-le film","BOUGHERABA Hakim / BOUGHERABA Ali","fiction","2 647 423","2021"
"148054","Soleil de trop près (Le)","CARNAILLE Brieuc","fiction","1 112 051","2021"
"148439","Tigre et le président (Le)","PEYREFITTE Jean-Marc","fiction","4 358 636","2021"
"152949","Tout le monde aime Jeanne","DEVAUX Celine","fiction","3 999 337","2021"
"150392","Trois nuits par semaine","GOUELOU Florent","fiction","2 359 025","2021"
"150105","Un cœur en abîme","BUREAU Guillaume","fiction","3 108 908","2021"
"150707","Un petit miracle","BOUDRE Sophie","fiction","4 480 824","2021"
"155013","Une comédie romantique","SEGOUIN Thibault","fiction","2 054 220","2021"
"154576","Une mère","AUDCOEUR Sylvie","fiction","2 300 048","2021"
"154532","Une sœur (falcon lake)","LE BON Charlotte","fiction","2 128 541","2021"
"154544","Vache qui chantait le futur (La)","ALEGRIA Francisca","fiction","1 384 228","2021"
"151658","Visiteur du futur (Le)","DESCRAQUES François","fiction","4 606 845","2021"
"152222","Zone libre","DIAZ Lisa","fiction","1 219 318","2021"
"152906","A demain mon amour","CARRE-AGOSTINI Basile","docu","679 280","2020"
"148404","A girl's room","SUNI Aino","fiction","1 219 975","2020"
"151439","A la vie","PEPIN Aude","docu","282 890","2020"
"152335","Amours d'Anaïs (Les)","BOURGEOIS-TACQUET Charline","fiction","3 098 451","2020"
"151732","Après la traversée","AKAFOU Joël","docu","238 780","2020"
"152309","Au cimetière de la pellicule","DIALLO Thierno Souleymane","docu","433 114","2020"
"145409","Aventures de Pil (Les)","FOURNET Julien","animation","7 734 841","2020"
"146631","Azuro","ROZE Matthieu","fiction","953 375","2020"
"153439","Carmen","MILLEPIED Benjamin","fiction","11 799 738","2020"
"150398","Carottes sauvages (Les)","BAUDAIS Pierre","fiction","291 358","2020"
"151915","De bas étage","QNIA Yassine","fiction","1 216 208","2020"
"153428","Fragile","BENESTAN Emma","fiction","2 148 300","2020"
"150825","Guêpe et l'orchidée (La)","ZAMMOURI Saber","docu","245 035","2020"
"148300","Harvest","DAGHER Ely","fiction","709 546","2020"
"152748","Hôpital n°6","LI Ye","docu","201 198","2020"
"150198","Ils sont vivants","ELKAIM Jérémie","fiction","3 116 914","2020"
"152298","Irréductibles","DUBUQUOY Olivier","docu","998 769","2020"
"152587","Lil'Buck real swan","WALLECAN Louis","docu","1 005 405","2020"
"152961","Ma nuit","BOULAT Antoinette","fiction","670 316","2020"
"149932","Maison d'enfants (à caractère social)","CHIKHAOUI Nessim","fiction","3 835 798","2020"
"152277","Maoussi","SCHIOLER Charlotte","fiction","2 011 307","2020"
"151747","Méchants (Les)","ACHOUR Mouloud / BAUMARD Dominique","fiction","2 620 106","2020"
"152097","Mes frères, et moi","MANCA Yohan","fiction","3 109 155","2020"
"151473","Messe basse","DRAPEAU Baptiste","fiction","522 122","2020"
"152824","Municipale","PAULOT Thomas","fiction","366 366","2020"
"147214","Murder party","PLESKOF Nicolas","fiction","3 445 453","2020"
"126276","Ogre","MALHERBE Arnaud","fiction","2 766 380","2020"
"153600","On sourit pour la photo","UZAN François","fiction","4 973 501","2020"
"152392","Ordre(s) et désordres","DUFRESNE David","docu","315 464","2020"
"130127","P4","CARDONA Vincent","fiction","3 403 354","2020"
