"annee","cnc","visa","titre","genre","nationalite","distributeur","classification","sortie","art_et_essai","etab_s1"
"2020","2020001394","153215","LUCKY STRIKE","THRILLER","COREE DU SUD","WILD BUNCH DISTRIBUTION","12","2020-07-08","OUI","155"
"2020","2020002103","153707","LUPIN III : THE FIRST","ANIMATION","JAPON","EUROZOOM","TP","2020-10-07","NON","328"
"2020","2019004514","152740","MADAME","DOCUMENTAIRE","SUISSE","OUTPLAY","TP","2020-08-26","OUI","10"
"2020","2018004981","149792","MADRE","THRILLER","FRANCE","LE PACTE","TP","2020-07-22","OUI","180"
"2020","2020000644","","MAFIA CHAPTER 1","AVENTURES","INDE","NIGHT ED FILMS","TP","2020-02-21","NON","8"
"2020","2020001640","","MALMKROG","DRAME","ROUMANIE","SHELLAC","TP","2020-07-08","NON","33"
"2020","2019001161","152519","MAMACITA","DOCUMENTAIRE","MEXIQUE","FA SOL LATINO","TP","2020-02-12","OUI","3"
"2020","2019002787","151004","MANHATTAN LOCKDOWN","THRILLER","ETATS UNIS","METROPOLITAN FILMEXPORT","TPA","2020-01-01","NON","215"
"2020","2020001187","153224","MANO DE OBRA","DRAME","MEXIQUE","ARP MERMOZ","TP","2020-08-19","OUI","38"
"2020","2018000771","148269","MARCHE AVEC LES LOUPS","DOCUMENTAIRE","FRANCE","GEBEKA FILMS","TP","2020-01-15","OUI","156"
"2020","2019003288","152671","MATERNAL","DRAME","ITALIE","MEMENTO FILMS DISTRIBUTION","TP","2020-10-07","OUI","78"
